obaf_number,source_af_type,number_arguments,cycle_probability,instance_number,beta,base_degree,semantics,reliability,number_of_agents,distribution_type,truth_extension,cosar_base_score,cosar_na_score,cosar_bayesian_score,wct_score,css_score
1,BA,10,0.3,15,,,PR,0.2,5,uniform,a1|a3|a4|a6|a7|a8,0,0,0,0,0
2,BA,10,0.3,15,,,PR,0.2,5,average,a0|a4|a6|a7|a9,0,0,0,0,0
3,BA,10,0.3,15,,,PR,0.2,10,uniform,a1|a3|a4|a5|a8,0,0,0,0,0
4,BA,10,0.3,15,,,PR,0.2,10,average,a0|a4|a6|a7|a9,0,0,0,0,0
5,BA,10,0.3,15,,,PR,0.2,15,uniform,a1|a2|a3|a6|a7|a8,0,0,0,0,0
6,BA,10,0.3,15,,,PR,0.2,15,average,a1|a2|a3|a6|a7|a8,0,0,0,0,0
7,BA,10,0.3,15,,,PR,0.2,20,uniform,a0|a4|a6|a7|a9,0,0,0,0,0
8,BA,10,0.3,15,,,PR,0.2,20,average,a1|a3|a4|a5|a8,0,0,0,0,0
9,BA,10,0.3,15,,,PR,0.2,25,uniform,a1|a2|a3|a5|a8,0,0,0,0,0
10,BA,10,0.3,15,,,PR,0.2,25,average,a0|a4|a6|a7|a9,0,0,0,0,0
11,BA,10,0.3,15,,,PR,0.2,30,uniform,a1|a2|a3|a6|a7|a8,0,0,0,0,0
12,BA,10,0.3,15,,,PR,0.2,30,average,a1|a3|a4|a5|a8,0,0,0,0,0
13,BA,10,0.3,15,,,PR,0.3,5,uniform,a1|a3|a4|a5|a8,0,0,0,0,0
14,BA,10,0.3,15,,,PR,0.3,5,average,a1|a3|a4|a5|a8,0,0,0,0,0
15,BA,10,0.3,15,,,PR,0.3,10,uniform,a1|a2|a3|a5|a8,0,0,0,0,0
16,BA,10,0.3,15,,,PR,0.3,10,average,a1|a3|a4|a5|a8,0,0,0,0,0
17,BA,10,0.3,15,,,PR,0.3,15,uniform,a1|a2|a3|a5|a8,0,0,0,0,0
18,BA,10,0.3,15,,,PR,0.3,15,average,a1|a3|a4|a6|a7|a8,0,0,0,0,0
19,BA,10,0.3,15,,,PR,0.3,20,uniform,a1|a2|a3|a5|a8,0,0,0,0,0
20,BA,10,0.3,15,,,PR,0.3,20,average,a0|a4|a6|a7|a9,0,0,0,0,0
21,BA,10,0.3,15,,,PR,0.3,25,uniform,a0|a4|a6|a7|a9,0,0,0,0,0
22,BA,10,0.3,15,,,PR,0.3,25,average,a1|a3|a4|a5|a8,0,0,0,0,0
23,BA,10,0.3,15,,,PR,0.3,30,uniform,a1|a3|a4|a5|a8,0,0,0,0,0
24,BA,10,0.3,15,,,PR,0.3,30,average,a1|a2|a3|a6|a7|a8,0,0,0,0,0
25,BA,10,0.3,15,,,PR,0.4,5,uniform,a1|a3|a4|a5|a8,0,0,0,0,0
26,BA,10,0.3,15,,,PR,0.4,5,average,a0|a4|a6|a7|a9,0,0,0,0,0
27,BA,10,0.3,15,,,PR,0.4,10,uniform,a1|a3|a4|a6|a7|a8,0,0,0,0,0
28,BA,10,0.3,15,,,PR,0.4,10,average,a1|a3|a4|a5|a8,0,0,0,0,0
29,BA,10,0.3,15,,,PR,0.4,15,uniform,a1|a3|a4|a6|a7|a8,0,0,0,0,0
30,BA,10,0.3,15,,,PR,0.4,15,average,a1|a3|a4|a5|a8,0,0,0,0,0
31,BA,10,0.3,15,,,PR,0.4,20,uniform,a1|a3|a4|a5|a8,0,0,0,0,0
32,BA,10,0.3,15,,,PR,0.4,20,average,a1|a3|a4|a6|a7|a8,0,0,0,0,0
33,BA,10,0.3,15,,,PR,0.4,25,uniform,a1|a2|a3|a6|a7|a8,0,0,0,0,0
34,BA,10,0.3,15,,,PR,0.4,25,average,a1|a2|a3|a5|a8,0,0,0,0,0
35,BA,10,0.3,15,,,PR,0.4,30,uniform,a1|a3|a4|a6|a7|a8,0,0,0,0,0
36,BA,10,0.3,15,,,PR,0.4,30,average,a1|a2|a3|a6|a7|a8,0,0,0,0,0
37,BA,10,0.3,15,,,PR,0.5,5,uniform,a1|a2|a3|a6|a7|a8,0,0,0,0,0
38,BA,10,0.3,15,,,PR,0.5,5,average,a1|a3|a4|a5|a8,0,0,0,0,0
39,BA,10,0.3,15,,,PR,0.5,10,uniform,a1|a3|a4|a6|a7|a8,0,0,0,0,0
40,BA,10,0.3,15,,,PR,0.5,10,average,a1|a3|a4|a5|a8,0,0,0,0,1
41,BA,10,0.3,15,,,PR,0.5,15,uniform,a0|a4|a6|a7|a9,0,0,0,0,0
42,BA,10,0.3,15,,,PR,0.5,15,average,a1|a3|a4|a5|a8,0,0,0,0,0
43,BA,10,0.3,15,,,PR,0.5,20,uniform,a1|a3|a4|a6|a7|a8,0,0,0,0,0
44,BA,10,0.3,15,,,PR,0.5,20,average,a1|a2|a3|a6|a7|a8,0,0,0,0,0
45,BA,10,0.3,15,,,PR,0.5,25,uniform,a1|a3|a4|a5|a8,0,0,0,0,0
46,BA,10,0.3,15,,,PR,0.5,25,average,a1|a2|a3|a6|a7|a8,0,0,0,0,0
47,BA,10,0.3,15,,,PR,0.5,30,uniform,a0|a4|a6|a7|a9,0,0,0,0,0
48,BA,10,0.3,15,,,PR,0.5,30,average,a1|a2|a3|a5|a8,0,0,0,0,0
49,BA,10,0.3,15,,,PR,0.6,5,uniform,a1|a3|a4|a5|a8,0,0,0,0,1
50,BA,10,0.3,15,,,PR,0.6,5,average,a1|a3|a4|a6|a7|a8,0,1,0,0,1
51,BA,10,0.3,15,,,PR,0.6,10,uniform,a1|a2|a3|a6|a7|a8,1,1,1,0,1
52,BA,10,0.3,15,,,PR,0.6,10,average,a1|a3|a4|a6|a7|a8,1,1,1,0,1
53,BA,10,0.3,15,,,PR,0.6,15,uniform,a1|a2|a3|a6|a7|a8,1,1,1,0,1
54,BA,10,0.3,15,,,PR,0.6,15,average,a1|a3|a4|a5|a8,1,1,1,0,1
55,BA,10,0.3,15,,,PR,0.6,20,uniform,a0|a4|a6|a7|a9,1,1,1,0,1
56,BA,10,0.3,15,,,PR,0.6,20,average,a0|a4|a6|a7|a9,1,1,1,0,1
57,BA,10,0.3,15,,,PR,0.6,25,uniform,a1|a2|a3|a6|a7|a8,1,1,1,0,1
58,BA,10,0.3,15,,,PR,0.6,25,average,a1|a3|a4|a6|a7|a8,1,1,1,0,1
59,BA,10,0.3,15,,,PR,0.6,30,uniform,a1|a3|a4|a6|a7|a8,1,1,1,0,1
60,BA,10,0.3,15,,,PR,0.6,30,average,a1|a2|a3|a6|a7|a8,1,1,1,0,1
61,BA,10,0.3,15,,,PR,0.7,5,uniform,a1|a3|a4|a5|a8,0,0,0,0,1
62,BA,10,0.3,15,,,PR,0.7,5,average,a1|a2|a3|a5|a8,1,1,1,0,1
63,BA,10,0.3,15,,,PR,0.7,10,uniform,a1|a2|a3|a6|a7|a8,1,1,1,0,1
64,BA,10,0.3,15,,,PR,0.7,10,average,a0|a4|a6|a7|a9,1,1,1,0,1
65,BA,10,0.3,15,,,PR,0.7,15,uniform,a0|a4|a6|a7|a9,1,1,1,0,1
66,BA,10,0.3,15,,,PR,0.7,15,average,a1|a3|a4|a5|a8,1,1,1,0,1
67,BA,10,0.3,15,,,PR,0.7,20,uniform,a0|a4|a6|a7|a9,1,1,1,0,1
68,BA,10,0.3,15,,,PR,0.7,20,average,a1|a3|a4|a5|a8,1,1,1,0,1
69,BA,10,0.3,15,,,PR,0.7,25,uniform,a1|a2|a3|a6|a7|a8,1,1,1,0,1
70,BA,10,0.3,15,,,PR,0.7,25,average,a1|a2|a3|a6|a7|a8,1,1,1,0,1
71,BA,10,0.3,15,,,PR,0.7,30,uniform,a0|a4|a6|a7|a9,1,1,1,0,1
72,BA,10,0.3,15,,,PR,0.7,30,average,a1|a2|a3|a6|a7|a8,1,1,1,0,1
73,BA,10,0.3,15,,,PR,0.8,5,uniform,a1|a2|a3|a5|a8,1,1,1,0,1
74,BA,10,0.3,15,,,PR,0.8,5,average,a1|a3|a4|a5|a8,1,1,1,0,1
75,BA,10,0.3,15,,,PR,0.8,10,uniform,a1|a3|a4|a6|a7|a8,1,1,1,0,1
